Date,Type,Category,Amount,Description
2026-01-01,expense,Shopping,2495,"Synthetic Shopping Expense"
2026-01-05,expense,Housing,19951,"Rent Payment"
2026-01-05,expense,Shopping,1890,"Synthetic Shopping Expense"
2026-01-07,expense,Food,2672,"Grocery Run Week 1"
2026-01-10,expense,Bills,4988,"Electricity & Internet"
2026-01-10,expense,Shopping,2884,"Synthetic Shopping Expense"
2026-01-12,expense,Transport,2850,"Synthetic Transport Expense"
2026-01-14,expense,Food,2594,"Grocery Run Week 2"
2026-01-16,expense,Healthcare,2115,"Synthetic Healthcare Expense"
2026-01-21,expense,Food,3109,"Grocery Run Week 3"
2026-01-28,expense,Food,2980,"Grocery Run Week 4"
2026-02-01,income,Salary,65000,"Monthly Salary (Synthetic)"
2026-02-01,expense,Transport,3462,"Synthetic Transport Expense"
2026-02-05,expense,Housing,20000,"Rent Payment"
2026-02-07,expense,Food,3107,"Grocery Run Week 1"
2026-02-10,expense,Bills,5000,"Electricity & Internet"
2026-02-14,expense,Food,2586,"Grocery Run Week 2"
2026-02-16,expense,Healthcare,2073,"Synthetic Healthcare Expense"
2026-02-19,expense,Transport,3558,"Synthetic Transport Expense"
2026-02-21,expense,Food,3175,"Grocery Run Week 3"
2026-02-27,expense,Entertainment,1540,"Synthetic Entertainment Expense"
2026-02-28,expense,Food,2805,"Grocery Run Week 4"
